name
Chicken curry
Beans and franks
Bacon and eggs
Grilled steak
Chili
Beef Stew
Chicken Curry in a Hurry
Split Pea Soup
Ribs
Pizza
Cranberry Pork Chops
Baked Pork Chops
Lasagne
Potato Leek Soup
Sloppy Joes
Carrot Cardamom Soup
Roasted Chicken
Quiche 
BBQ Beef Sandwiches
Mongolian Beef (Slow Cooker)
Rotisserie Chicke
Spaghetti and Sauce and meatballs
Pot Pies
Pot Roast
Shrimp Pad Thai
Chicken Pad Thai
Bratwurst
Turkey  tetrazzini
Chicken tetrazzini
Sunday Gravy
